post_id,upload_date,media_type,likes,comments,shares,saves,reach,impressions,caption_length,hashtags_count,followers_gained,traffic_source,engagement_rate,content_category
POST_00180,2024-01-01,Reel,5838,549,85,479,48006,66978,385,4,411,Home Feed,14.48,Food
POST_00420,2024-01-02,Video,1726,82,50,260,13130,19137,297,27,62,Home Feed,16.13,Beauty
POST_00302,2024-01-02,Photo,175,16,2,8,1703,4249,292,14,17,Explore,11.8,Travel
POST_00163,2024-01-02,Photo,194,13,9,31,1525,3723,326,10,11,Hashtag,16.2,Fashion
POST_00032,2024-01-04,Reel,4790,480,243,575,35087,65866,185,20,81,Explore,17.35,Education
POST_00230,2024-01-04,Photo,1036,67,74,134,7262,12227,282,26,52,Explore,18.05,Food
POST_00431,2024-01-05,Reel,2152,252,143,201,14852,28658,139,26,122,Other,18.5,Beauty
POST_00390,2024-01-05,Video,1831,165,55,248,11884,18303,247,10,111,Explore,19.35,Beauty
POST_00366,2024-01-05,Reel,1513,159,116,160,30519,46910,116,5,209,Explore,6.38,Fitness
POST_00150,2024-01-06,Reel,4668,201,113,317,31958,57226,147,3,83,Home Feed,16.58,Beauty
POST_00290,2024-01-08,Photo,330,13,4,37,4072,7820,35,18,11,Home Feed,9.43,Beauty
POST_00184,2024-01-10,Carousel,480,33,37,26,15588,19550,116,2,102,Explore,3.7,Travel
POST_00224,2024-01-11,Reel,281,18,20,33,5968,13459,215,20,37,Home Feed,5.9,Lifestyle
POST_00483,2024-01-13,Photo,1473,155,74,278,13640,25647,45,18,73,Home Feed,14.52,Fitness
POST_00463,2024-01-13,Video,1976,107,156,277,19484,45615,36,24,226,Home Feed,12.91,Technology
POST_00003,2024-01-13,Video,2800,270,45,475,17069,27679,251,26,38,Hashtag,21.03,Beauty
POST_00021,2024-01-14,Photo,466,43,31,33,14631,24168,153,10,59,Home Feed,3.92,Lifestyle
POST_00498,2024-01-15,Reel,1259,104,94,231,9255,14437,338,11,133,Home Feed,18.24,Education
POST_00015,2024-01-16,Reel,2859,333,150,255,21967,46064,174,24,229,Home Feed,16.37,Technology
POST_00014,2024-01-17,Reel,7140,456,437,624,40201,57402,26,16,486,Hashtag,21.53,Food
POST_00237,2024-01-17,Reel,2937,154,70,394,34856,50775,389,12,305,Hashtag,10.2,Beauty
POST_00103,2024-01-17,Reel,1705,108,99,244,9780,17581,46,22,41,Home Feed,22.04,Travel
POST_00437,2024-01-19,Reel,4062,248,178,546,44575,94507,149,12,449,Hashtag,11.29,Fitness
POST_00474,2024-01-20,Carousel,2431,226,93,201,20625,39193,127,5,220,Direct,14.31,Fashion
POST_00343,2024-01-21,Reel,1595,114,57,112,19437,41913,128,5,238,Hashtag,9.66,Lifestyle
POST_00447,2024-01-21,Carousel,1488,54,65,83,19866,34473,387,14,208,Other,8.51,Education
POST_00444,2024-01-22,Reel,859,76,17,143,21035,48485,292,3,156,Hashtag,5.21,Food
POST_00049,2024-01-23,Photo,1925,171,58,359,13529,24100,78,4,120,Hashtag,18.57,Technology
